#{"t_start": 1706187320.441495, "env_id": null}
r,l,t
2.0,50,2673.633483
0.0,50,2675.813455
2.0,50,2676.631419
1.0,50,2678.741687
2.0,50,2684.145615
3.0,10,2684.343846
0.0,50,2746.413779
1.0,50,2748.491485
0.0,50,2750.071132
0.0,50,2752.22345
2.0,3,2752.281896
2.0,50,2755.182997
0.0,50,2755.8913
1.0,50,2757.60948
0.0,50,2759.813773
0.0,50,2762.655794
2.0,6,2762.796401
0.0,50,2764.022648
2.0,50,2765.504063
0.0,50,2767.603053
0.0,50,2769.06179
1.0,50,2769.599017
1.0,50,2771.055073
0.0,50,2772.833417
0.0,50,2775.190875
1.0,50,2777.340254
0.0,50,2778.933094
0.0,50,2780.128135
1.0,50,2781.795353
0.0,50,2784.399683
0.0,50,2785.956767
0.0,50,2786.694882
4.0,25,2787.108518
0.0,50,2790.354559
0.0,50,2792.565295
2.0,29,2793.207588
3.0,31,2794.162589
0.0,50,2796.400609
0.0,50,2799.42222
1.0,50,2800.59938
1.0,50,2803.38195
1.0,9,2803.44035
0.0,50,2804.905877
1.0,1,2804.945347
1.0,13,2805.024773
0.0,50,2806.261045
1.0,50,2808.772239
2.0,50,2811.289375
2.0,50,2813.155358
0.0,50,2814.548232
0.0,50,2816.04598
2.0,50,2818.380593
0.0,50,2820.119071
0.0,50,2871.416496
0.0,50,2872.725833
0.0,50,2876.520294
0.0,50,2878.475255
1.0,50,2879.823607
2.0,19,2880.166618
0.0,50,2882.660516
0.0,50,2883.598716
1.0,50,2884.273504
0.0,50,2886.014577
1.0,50,2889.859433
1.0,50,2891.372189
1.0,50,2892.342246
0.0,50,2896.369764
1.0,7,2896.553017
0.0,50,2897.644583
1.0,50,2899.877364
0.0,50,2901.322942
2.0,50,2902.255328
1.0,50,2903.802918
2.0,50,2905.878958
0.0,50,2907.415743
0.0,50,2909.078023
1.0,50,2910.078137
0.0,50,2911.451457
0.0,50,2913.27752
0.0,50,2914.766699
4.0,50,2915.303673
1.0,4,2915.339149
0.0,50,2917.46149
2.0,50,2919.452456
1.0,1,2919.458201
0.0,50,2919.921357
0.0,50,2921.114356
2.0,39,2921.497489
1.0,50,2923.963071
0.0,50,2925.092671
0.0,50,2926.613771
1.0,1,2926.643525
3.0,42,2927.429561
0.0,50,2929.619698
0.0,50,2931.917605
3.0,7,2932.133622
3.0,17,2932.463109
0.0,50,2934.176261
2.0,50,2935.556169
1.0,5,2935.618789
1.0,50,2939.720465
1.0,50,2996.919351
0.0,50,2997.568725
0.0,50,2998.97728
2.0,3,2999.042328
2.0,13,2999.441172
0.0,50,3000.316037
1.0,50,3002.29759
1.0,3,3002.454695
0.0,50,3003.744847
2.0,50,3004.558363
0.0,50,3005.931455
1.0,1,3005.947711
1.0,50,3008.687412
0.0,50,3010.041665
1.0,50,3011.891581
2.0,6,3011.976118
2.0,8,3012.076362
3.0,16,3012.554192
1.0,1,3012.612426
1.0,50,3014.678222
1.0,50,3015.452749
2.0,50,3017.580365
0.0,50,3018.341119
0.0,50,3021.54669
2.0,50,3024.32188
2.0,50,3026.965801
0.0,50,3029.678385
1.0,50,3030.591831
2.0,50,3031.501079
0.0,50,3034.331527
3.0,50,3035.223305
0.0,50,3037.787648
0.0,50,3038.434981
1.0,50,3040.497216
1.0,50,3042.351031
0.0,50,3043.636668
0.0,50,3046.545975
1.0,5,3046.623122
1.0,50,3050.935656
1.0,50,3052.443456
1.0,50,3053.982202
1.0,50,3055.08046
1.0,50,3058.29942
1.0,50,3059.677231
1.0,50,3061.641565
0.0,50,3063.495387
2.0,50,3066.104058
3.0,23,3068.717717
1.0,50,3070.300757
0.0,50,3121.948575
0.0,50,3123.374781
0.0,50,3124.69737
1.0,50,3127.699542
0.0,50,3128.341859
1.0,50,3129.831291
0.0,50,3130.929425
4.0,16,3131.185946
1.0,50,3132.632973
0.0,50,3133.216852
0.0,50,3135.253688
0.0,50,3137.308247
3.0,50,3138.331314
0.0,50,3139.760303
0.0,50,3140.527476
0.0,50,3141.838837
0.0,50,3142.963839
3.0,50,3144.963181
2.0,9,3145.006989
2.0,50,3148.864491
0.0,50,3150.010676
0.0,50,3152.22983
1.0,50,3153.501673
1.0,50,3157.076314
1.0,50,3159.46981
0.0,50,3161.508493
1.0,50,3163.9835
2.0,50,3167.462802
1.0,50,3169.607601
1.0,50,3170.523145
1.0,5,3170.549412
0.0,50,3172.03195
0.0,50,3174.451795
4.0,6,3174.64742
0.0,50,3176.392526
2.0,5,3176.49452
2.0,15,3176.990216
1.0,15,3177.442364
0.0,50,3179.087599
0.0,50,3181.035339
1.0,50,3182.754804
0.0,50,3184.384256
2.0,50,3187.523566
3.0,15,3187.691396
2.0,50,3190.030371
1.0,4,3190.123119
1.0,50,3191.754202
2.0,11,3191.976655
2.0,50,3194.626249
0.0,50,3249.031226
0.0,50,3250.48474
1.0,50,3251.657348
2.0,18,3252.127193
0.0,50,3253.590156
1.0,50,3255.302202
2.0,9,3255.362169
2.0,2,3255.407139
0.0,50,3256.56905
0.0,50,3259.568191
0.0,50,3260.980706
1.0,50,3261.962845
0.0,50,3263.411277
1.0,50,3264.219619
5.0,50,3265.758567
0.0,50,3266.480073
2.0,2,3266.553596
3.0,50,3270.591215
1.0,6,3270.667699
2.0,50,3272.584436
1.0,50,3274.209184
0.0,50,3275.742028
