rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/explained_variance
34.96,24,25272,628736,1.33,307,0.001,0.13979025320149957,1.0,306,0.008762160316109657,0.020214684307575226,0.08300763368606567
35.09,24,25351,630784,1.4,308,0.001,0.11138080526143312,1.0,307,0.006499645300209522,0.008667657151818275,0.15398842096328735
34.34,24,25420,632832,1.46,309,0.001,0.1176734919194132,1.0,308,0.009209513664245605,0.01277615875005722,0.19970327615737915
32.99,24,25495,634880,1.43,310,0.001,0.11923977970145642,1.0,309,0.009457845240831375,0.009716354310512543,0.15373778343200684
31.6,24,25572,636928,1.61,311,0.001,0.11009653606452048,1.0,310,0.006008286960422993,0.008576542139053345,0.19835829734802246
31.46,24,25653,638976,1.9,312,0.001,0.1449736002832651,1.0,311,0.006025295704603195,0.01161229144781828,0.2326924204826355
31.93,24,25727,641024,1.68,313,0.001,0.16385807008482517,1.0,312,0.007152396719902754,0.015538087114691734,0.1356959342956543
35.14,24,25802,643072,1.44,314,0.001,0.12746184521820397,1.0,313,0.008024744689464569,0.016687262803316116,0.2244333028793335
36.01,24,25877,645120,1.42,315,0.001,0.09260667318012565,1.0,314,0.00973554141819477,0.015016017481684685,0.205466628074646
32.89,24,25949,647168,1.42,316,0.001,0.10890643342863768,1.0,315,0.009366139769554138,0.013602062128484249,0.17449605464935303
31.08,24,26020,649216,1.54,317,0.001,0.12113738155458123,1.0,316,0.008656999096274376,0.01677076518535614,0.20855975151062012
31.78,24,26100,651264,1.66,318,0.001,0.10550237693823875,1.0,317,0.007320290431380272,0.01595841348171234,0.29242604970932007
33.35,24,26176,653312,1.48,319,0.001,0.1532067490974441,1.0,318,0.007575551047921181,0.015440667048096657,0.16728264093399048
31.54,24,26250,655360,1.52,320,0.001,0.10847142066340894,1.0,319,0.007595976814627647,0.01630645990371704,0.2158861756324768
31.76,24,26326,657408,1.57,321,0.001,0.12962511347141117,1.0,320,0.003026411635801196,0.010563944466412067,0.2550692558288574
32.65,24,26414,659456,1.57,322,0.001,0.11560709509067238,1.0,321,0.008349860087037086,0.008755074813961983,0.2282993197441101
32.97,24,26505,661504,1.66,323,0.001,0.14071991182863713,1.0,322,0.0010170417372137308,0.006714764051139355,0.20191073417663574
34.71,24,26603,663552,1.39,324,0.001,0.1083451271057129,0.0,323,0.0,2.497248351573944e-05,0.2743804454803467
31.96,24,26678,665600,1.55,325,0.001,0.11124382202979177,1.0,324,0.00806501880288124,0.015603817068040371,0.09128046035766602
32.33,24,26761,667648,1.58,326,0.001,0.1349636133760214,1.0,325,0.007890214212238789,0.01108863577246666,0.19261878728866577
34.09,24,26834,669696,1.54,327,0.001,0.11529810561332851,1.0,326,0.007995427586138248,0.015808070078492165,0.18043243885040283
29.53,24,26916,671744,1.46,328,0.001,0.12343325533438473,1.0,327,0.0073384991846978664,0.011228276416659355,0.1864255666732788
31.69,24,26988,673792,1.38,329,0.001,0.12968291705474258,1.0,328,0.009977557696402073,0.020296011120080948,0.13612747192382812
35.82,24,27057,675840,1.56,330,0.001,0.09684739378280938,1.0,329,0.009630674496293068,0.01641705445945263,0.1785576343536377
29.89,24,27124,677888,1.97,331,0.001,0.1483890895266086,1.0,330,0.0075554633513092995,0.012196047231554985,0.13155198097229004
28.99,24,27203,679936,1.58,332,0.001,0.16976598342880606,1.0,331,0.00861494243144989,0.01498352363705635,0.26774996519088745
32.94,25,27279,681984,1.31,333,0.001,0.09508264777250588,1.0,332,0.0061393859796226025,0.00883631780743599,0.3044779896736145
29.49,24,27364,684032,1.76,334,0.001,0.10824215481989086,1.0,333,0.00806983932852745,0.03199295327067375,0.2080228328704834
30.12,24,27445,686080,1.73,335,0.001,0.16678080717101693,1.0,334,0.008023520931601524,0.022150108590722084,0.23910146951675415
33.42,25,27521,688128,1.71,336,0.001,0.15590041726827622,1.0,335,0.0073966290801763535,0.015777824446558952,0.10327458381652832
33.97,25,27599,690176,1.67,337,0.001,0.15188719124998898,1.0,336,0.007681593298912048,0.013309206813573837,0.11037909984588623
34.11,25,27684,692224,1.64,338,0.001,0.14071057355031372,1.0,337,0.007747296243906021,0.01949326880276203,0.2397555112838745
34.11,24,27773,694272,1.48,339,0.001,0.12476272543426603,1.0,338,0.00279910396784544,0.013655615970492363,0.1132001280784607
33.54,25,27851,696320,1.64,340,0.001,0.10609071834478527,1.0,339,0.006330677308142185,0.01458652876317501,0.1903708577156067
32.84,25,27926,698368,1.75,341,0.001,0.16542548453435302,1.0,340,0.008994223549962044,0.017974652349948883,0.03103780746459961
31.5,25,28002,700416,1.74,342,0.001,0.17862331392243505,1.0,341,0.007354294881224632,0.0121725769713521,0.12016016244888306
29.11,25,28082,702464,1.68,343,0.001,0.142362698353827,1.0,342,0.005766916088759899,0.008553484454751015,0.09317165613174438
30.07,25,28151,704512,1.71,344,0.001,0.18123699291609227,1.0,343,0.009555023163557053,0.015771249309182167,0.11710482835769653
32.89,25,28222,706560,1.68,345,0.001,0.13969284335616977,1.0,344,0.008713221177458763,0.0274488665163517,0.19988465309143066
33.51,25,28302,708608,1.62,346,0.001,0.14109722378198059,1.0,345,0.009153099730610847,0.02407580427825451,0.1280863881111145
29.5,25,28378,710656,1.7,347,0.001,0.13575770445168017,1.0,346,0.0070284451358020306,0.016182446852326393,0.21628862619400024
31.79,25,28454,712704,1.81,348,0.001,0.14994580047205092,1.0,347,0.006223132833838463,0.01561781857162714,0.17542558908462524
30.38,25,28534,714752,1.74,349,0.001,0.13892888240516185,1.0,348,0.007908942177891731,0.011462664231657982,0.22479504346847534
28.15,25,28606,716800,1.75,350,0.001,0.13449974367395043,1.0,349,0.006255331449210644,0.01306331530213356,0.15722334384918213
30.33,25,28676,718848,1.72,351,0.001,0.16015587700530887,1.0,350,0.006415655370801687,0.016948692500591278,0.10633862018585205
32.66,25,28753,720896,1.64,352,0.001,0.15152098336257042,1.0,351,0.006980493664741516,0.011115518398582935,0.11952418088912964
34.52,25,28824,722944,1.65,353,0.001,0.12393688729498535,1.0,352,0.0073987506330013275,0.010918531566858292,0.17505717277526855
33.99,25,28897,724992,1.76,354,0.001,0.13872462757863105,1.0,353,0.009730856865644455,0.01482400856912136,0.12302327156066895
34.84,25,28972,727040,1.73,355,0.001,0.14073390238918365,1.0,354,0.009524747729301453,0.012999624013900757,0.12426924705505371
33.84,25,29047,729088,1.58,356,0.001,0.14751548236235976,1.0,355,0.007070489227771759,0.011491311714053154,0.1569918394088745
34.27,25,29115,731136,1.55,357,0.001,0.10159841722343117,1.0,356,0.006728483363986015,0.018139345571398735,0.13021087646484375
29.93,25,29188,733184,1.71,358,0.001,0.13771218955516815,1.0,357,0.009720457717776299,0.01811797544360161,0.13626188039779663
26.73,25,29266,735232,1.72,359,0.001,0.16126444581896066,1.0,358,0.008984055370092392,0.015771370381116867,0.1520935297012329
29.04,25,29333,737280,1.79,360,0.001,0.15136576988734304,1.0,359,0.009470971301198006,0.014989562332630157,0.22061705589294434
33.61,25,29415,739328,1.72,361,0.001,0.12042389633134007,1.0,360,0.007373757194727659,0.013101618736982346,0.2668764591217041
34.11,25,29495,741376,1.74,362,0.001,0.13634105711244046,1.0,361,0.006308355368673801,0.008414482697844505,0.21713531017303467
28.02,25,29569,743424,1.79,363,0.001,0.12223706340882927,1.0,362,0.006541190668940544,0.014966169372200966,0.2028580904006958
30.69,25,29642,745472,1.76,364,0.001,0.17112274891696871,1.0,363,0.007911382243037224,0.013975286856293678,0.1675044298171997
